2023-02-07 14:02:04.9139 Info Message Template Auto Format enabled
2023-02-07 14:02:05.2531 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.5.log
2023-02-07 14:02:05.2531 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.6.log
2023-02-07 14:02:05.2531 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.7.log
2023-02-07 14:02:05.2701 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.8.log
2023-02-07 14:02:05.2701 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.9.log
2023-02-07 14:02:05.2855 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.10.log
2023-02-07 14:02:05.2855 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.11.log
2023-02-07 14:02:05.3008 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.12.log
2023-02-07 14:02:05.3008 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.13.log
2023-02-07 14:02:05.3161 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.14.log
2023-02-07 14:02:05.3310 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.15.log
2023-02-07 14:02:05.3310 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.16.log
2023-02-07 14:02:05.3471 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.17.log
2023-02-07 14:02:05.3471 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.18.log
2023-02-07 14:02:05.3620 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.19.log
2023-02-07 14:02:05.3620 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.20.log
2023-02-07 14:02:05.3786 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.21.log
2023-02-07 14:02:05.3940 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.22.log
2023-02-07 14:02:05.3940 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.23.log
2023-02-07 14:02:05.4089 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.24.log
2023-02-07 14:02:05.4089 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.25.log
2023-02-07 14:02:05.4254 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.26.log
2023-02-07 14:02:05.4254 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.27.log
2023-02-07 14:02:05.4417 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.28.log
2023-02-07 14:02:05.4417 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.29.log
2023-02-07 14:02:05.4583 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.30.log
2023-02-07 14:02:05.4721 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.31.log
2023-02-07 14:02:05.4721 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.32.log
2023-02-07 14:02:05.4868 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.33.log
2023-02-07 14:02:05.4868 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.34.log
2023-02-07 14:02:05.5043 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.35.log
2023-02-07 14:02:05.5043 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.36.log
2023-02-07 14:02:05.5193 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.37.log
2023-02-07 14:02:05.5193 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.38.log
2023-02-07 14:02:05.5343 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.39.log
2023-02-07 14:02:05.5343 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.40.log
2023-02-07 14:02:05.5508 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.41.log
2023-02-07 14:02:05.5508 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.42.log
2023-02-07 14:02:05.5661 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.43.log
2023-02-07 14:02:05.5815 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.44.log
2023-02-07 14:02:05.5815 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.45.log
2023-02-07 14:02:05.5973 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.46.log
2023-02-07 14:02:05.5973 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.47.log
2023-02-07 14:02:05.6126 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.48.log
2023-02-07 14:02:05.6126 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.49.log
2023-02-07 14:02:05.6287 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.50.log
2023-02-07 14:02:05.6287 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.51.log
2023-02-07 14:02:05.6436 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.52.log
2023-02-07 14:02:05.6436 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.53.log
2023-02-07 14:02:05.6602 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.54.log
2023-02-07 14:02:05.6602 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.55.log
2023-02-07 14:02:05.6748 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.56.log
2023-02-07 14:02:05.6748 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.57.log
2023-02-07 14:02:05.6911 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.58.log
2023-02-07 14:02:05.6911 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.59.log
2023-02-07 14:02:05.7068 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.60.log
2023-02-07 14:02:05.7068 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.61.log
2023-02-07 14:02:05.7220 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.62.log
2023-02-07 14:02:05.7220 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.63.log
2023-02-07 14:02:05.7374 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.64.log
2023-02-07 14:02:05.7374 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.65.log
2023-02-07 14:02:05.7537 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.66.log
2023-02-07 14:02:05.7537 Info FileTarget(Name=target1): Archiving D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.log to D:\零度\日志输出\f4d04045a75c49a78edf1fd288cdf370\LoggingSamples\LoggingSamples\bin\Debug\netcoreapp2.0\logs\2023-02-07-14-02.67.log
